Date,Month,Views,Average_View_Duration,Subscribers_Gained,Watch_Time_Hours,Revenue,Age_Group,Gender,Device,Source,Country
15-06-25,Jun,4196,10,-4,40,2323,25-34,Male,Mobile,Browse Features,India
16-06-25,Jun,3028,34,18,226,951,25-34,Female,TV,Channel Pages,India
17-06-25,Jun,4081,41,39,384,1255,25-34,Male,Mobile,YouTube Search,India
18-06-25,Jun,4867,13,42,103,426,25-34,Female,Mobile,YouTube Search,India
19-06-25,Jun,4487,26,43,163,1572,45-54,Female,Mobile,Suggested Videos,India
20-06-25,Jun,2611,35,-5,180,620,18-24,Female,Mobile,YouTube Search,India
21-06-25,Jun,1323,7,14,37,926,35-44,Female,TV,Browse Features,India
22-06-25,Jun,4819,3,27,31,427,25-34,Male,Mobile,Suggested Videos,India
23-06-25,Jun,3018,18,47,330,262,18-24,Male,Desktop,YouTube Search,India
24-06-25,Jun,2420,38,3,218,1113,35-44,Male,Desktop,Suggested Videos,India
25-06-25,Jun,3616,42,14,266,1652,18-24,Male,Mobile,Direct,India
26-06-25,Jun,1072,40,46,49,1214,18-24,Female,Desktop,YouTube Search,India
27-06-25,Jun,4661,24,26,220,376,45-54,Female,Mobile,External,India
28-06-25,Jun,3876,8,6,358,749,25-34,Male,Desktop,YouTube Search,India
29-06-25,Jun,1514,6,34,270,1987,18-24,Male,Tablet,Direct,India
30-06-25,Jun,772,12,27,358,2016,35-44,Male,Mobile,Browse Features,India
01-07-25,Jul,2097,33,-3,208,1567,18-24,Female,Mobile,Browse Features,India
02-07-25,Jul,2681,26,4,99,2015,18-24,Male,Mobile,Browse Features,India
03-07-25,Jul,4500,38,41,52,812,18-24,Male,Mobile,Browse Features,India
04-07-25,Jul,3406,13,15,443,1424,18-24,Male,Mobile,Browse Features,India
05-07-25,Jul,2228,7,42,449,1968,55+,Male,Mobile,YouTube Search,India
06-07-25,Jul,1386,17,7,79,2436,25-34,Male,Mobile,Browse Features,India
07-07-25,Jul,4647,39,7,73,1549,25-34,Female,Desktop,YouTube Search,India
08-07-25,Jul,962,29,-1,58,595,45-54,Female,Mobile,Browse Features,India
09-07-25,Jul,795,43,15,217,2289,35-44,Female,Mobile,Browse Features,India
10-07-25,Jul,1211,32,18,382,653,18-24,Female,Mobile,Suggested Videos,India
11-07-25,Jul,4796,4,49,222,1543,55+,Male,Tablet,YouTube Search,India
12-07-25,Jul,2675,34,18,374,1993,25-34,Female,Mobile,Browse Features,India
13-07-25,Jul,3534,44,31,194,2369,18-24,Female,Desktop,Browse Features,India
14-07-25,Jul,4942,31,24,232,2299,18-24,Male,Mobile,YouTube Search,India
15-07-25,Jul,1575,20,37,71,763,45-54,Male,Mobile,Browse Features,India
16-07-25,Jul,4287,40,0,60,1078,25-34,Male,Desktop,Suggested Videos,India
17-07-25,Jul,2614,34,35,89,1111,18-24,Female,Tablet,Suggested Videos,India
18-07-25,Jul,2828,33,2,395,354,13-17,Male,Mobile,Suggested Videos,India
19-07-25,Jul,2257,13,29,371,690,25-34,Female,Mobile,Browse Features,India
20-07-25,Jul,995,20,28,65,2007,18-24,Male,Mobile,Suggested Videos,Canada
21-07-25,Jul,2681,19,46,214,2004,18-24,Male,Desktop,External,Canada
22-07-25,Jul,2434,16,40,307,324,18-24,Male,Mobile,Suggested Videos,Canada
23-07-25,Jul,1171,44,5,77,1535,55+,Male,Mobile,External,Canada
24-07-25,Jul,2404,6,2,278,333,55+,Male,TV,YouTube Search,Canada
25-07-25,Jul,2748,40,43,265,1001,18-24,Female,Desktop,External,Canada
26-07-25,Jul,1056,20,28,53,883,45-54,Male,Mobile,Suggested Videos,Canada
27-07-25,Jul,4965,9,4,382,2466,25-34,Male,Mobile,Direct,Canada
28-07-25,Jul,2784,27,11,82,550,18-24,Male,Mobile,Browse Features,Canada
29-07-25,Jul,2504,24,11,259,1595,25-34,Male,Tablet,Channel Pages,Canada
30-07-25,Jul,4558,6,48,322,2370,25-34,Male,Desktop,Suggested Videos,Canada
31-07-25,Jul,3574,38,1,96,2225,25-34,Female,Desktop,Suggested Videos,Canada
01-08-25,Aug,1317,29,6,35,991,18-24,Male,Mobile,Browse Features,Canada
02-08-25,Aug,4297,41,39,33,991,25-34,Female,Mobile,Channel Pages,Canada
03-08-25,Aug,3183,33,17,61,1422,18-24,Male,Mobile,YouTube Search,Canada
04-08-25,Aug,1944,9,15,75,554,18-24,Female,Mobile,YouTube Search,Canada
05-08-25,Aug,529,33,39,21,799,18-24,Male,TV,Direct,Canada
06-08-25,Aug,4122,13,14,277,1033,35-44,Male,Tablet,Browse Features,Canada
07-08-25,Aug,4094,3,42,261,1492,18-24,Male,Desktop,External,Canada
08-08-25,Aug,4297,30,24,42,2464,35-44,Male,Mobile,Browse Features,Canada
09-08-25,Aug,624,27,40,230,1933,13-17,Female,Desktop,YouTube Search,Canada
10-08-25,Aug,4592,7,18,267,1346,18-24,Male,Mobile,YouTube Search,Canada
11-08-25,Aug,2873,21,42,388,861,45-54,Male,Desktop,Suggested Videos,Canada
12-08-25,Aug,2186,3,42,346,1092,55+,Female,TV,Channel Pages,Canada
13-08-25,Aug,2154,9,8,295,1684,18-24,Female,Mobile,Suggested Videos,Canada
14-08-25,Aug,2487,21,15,204,1948,25-34,Male,Mobile,Direct,Canada
15-08-25,Aug,2652,9,39,407,1823,45-54,Female,Desktop,Suggested Videos,Canada
16-08-25,Aug,2058,44,24,144,1521,13-17,Female,Desktop,Browse Features,Canada
17-08-25,Aug,3553,10,19,279,1659,25-34,Female,Mobile,Browse Features,Canada
18-08-25,Aug,1129,8,41,231,1677,18-24,Female,Mobile,YouTube Search,Canada
19-08-25,Aug,1172,39,22,388,491,18-24,Male,Desktop,Suggested Videos,Canada
20-08-25,Aug,920,42,11,135,693,35-44,Male,Desktop,Suggested Videos,Canada
21-08-25,Aug,2451,25,43,171,8,25-34,Male,Mobile,Suggested Videos,Canada
22-08-25,Aug,2803,26,25,145,1129,45-54,Male,Desktop,YouTube Search,Canada
23-08-25,Aug,3450,3,-4,314,1129,18-24,Female,Mobile,Direct,Canada
24-08-25,Aug,2029,37,46,390,1213,18-24,Male,TV,YouTube Search,Canada
25-08-25,Aug,4654,27,39,360,1774,25-34,Female,Mobile,YouTube Search,Canada
26-08-25,Aug,1002,42,27,386,504,18-24,Female,Mobile,Channel Pages,Canada
27-08-25,Aug,911,7,28,268,1909,25-34,Male,TV,YouTube Search,Canada
28-08-25,Aug,4565,7,32,443,1882,45-54,Female,Mobile,Suggested Videos,Canada
29-08-25,Aug,2392,10,50,223,2131,18-24,Female,Tablet,YouTube Search,Canada
30-08-25,Aug,3903,41,43,122,2418,18-24,Male,Mobile,Direct,Canada
31-08-25,Aug,3814,9,5,375,1352,18-24,Male,Desktop,External,Canada
01-09-25,Sep,705,41,24,395,974,45-54,Female,TV,Suggested Videos,Canada
02-09-25,Sep,1296,36,43,28,1940,25-34,Female,Desktop,Suggested Videos,Canada
03-09-25,Sep,744,23,5,294,290,25-34,Female,Mobile,External,United Kingdom
04-09-25,Sep,2502,24,3,173,796,13-17,Female,Mobile,YouTube Search,United Kingdom
05-09-25,Sep,1400,20,1,254,2072,45-54,Male,Desktop,Channel Pages,United Kingdom
06-09-25,Sep,1678,27,11,299,916,35-44,Female,Mobile,Browse Features,United Kingdom
07-09-25,Sep,2919,13,26,167,673,25-34,Male,TV,YouTube Search,United Kingdom
08-09-25,Sep,1704,17,27,124,1415,25-34,Female,Mobile,Browse Features,United Kingdom
09-09-25,Sep,3083,34,43,108,698,13-17,Male,Mobile,Browse Features,United Kingdom
10-09-25,Sep,706,6,37,447,1460,18-24,Male,Mobile,Channel Pages,United Kingdom
11-09-25,Sep,646,9,26,219,74,35-44,Male,Mobile,Suggested Videos,United Kingdom
12-09-25,Sep,1084,34,2,72,1460,45-54,Male,Desktop,YouTube Search,United Kingdom
13-09-25,Sep,3175,35,12,147,556,18-24,Male,Mobile,YouTube Search,United Kingdom
14-09-25,Sep,3475,6,38,396,151,13-17,Female,Tablet,YouTube Search,United Kingdom
15-09-25,Sep,2787,39,-4,257,1520,18-24,Female,Mobile,Browse Features,United Kingdom
16-09-25,Sep,1376,8,0,326,1285,18-24,Male,Desktop,Suggested Videos,United Kingdom
17-09-25,Sep,3745,8,25,392,1216,18-24,Male,TV,YouTube Search,United Kingdom
18-09-25,Sep,4266,12,16,62,1206,45-54,Male,TV,Browse Features,United Kingdom
19-09-25,Sep,1236,35,50,406,947,18-24,Male,Tablet,External,United Kingdom
20-09-25,Sep,3935,25,-3,275,1974,25-34,Female,Mobile,Channel Pages,United Kingdom
21-09-25,Sep,2034,5,38,167,1384,18-24,Male,Desktop,YouTube Search,United Kingdom
22-09-25,Sep,3902,37,28,45,335,25-34,Male,Mobile,YouTube Search,United Kingdom
23-09-25,Sep,3550,5,13,82,1312,25-34,Male,Mobile,Suggested Videos,United Kingdom
24-09-25,Sep,1747,36,48,219,2019,25-34,Female,Mobile,YouTube Search,United Kingdom
25-09-25,Sep,3709,18,9,322,964,45-54,Male,Mobile,Suggested Videos,United Kingdom
26-09-25,Sep,4399,10,10,422,2410,13-17,Male,Mobile,YouTube Search,United Kingdom
27-09-25,Sep,3954,15,22,194,1870,35-44,Female,Mobile,Channel Pages,United Kingdom
28-09-25,Sep,552,16,-2,262,1206,45-54,Male,Mobile,Channel Pages,United Kingdom
29-09-25,Sep,4719,33,12,127,1242,18-24,Female,Desktop,YouTube Search,United Kingdom
30-09-25,Sep,4154,44,-5,399,1923,18-24,Male,Mobile,YouTube Search,United Kingdom
01-10-25,Oct,1129,23,34,166,2329,45-54,Male,Mobile,Suggested Videos,United Kingdom
02-10-25,Oct,1906,40,24,174,744,25-34,Female,Mobile,Suggested Videos,United Kingdom
03-10-25,Oct,3540,42,19,70,587,13-17,Male,Mobile,External,United Kingdom
04-10-25,Oct,4994,6,3,146,681,35-44,Male,Mobile,Suggested Videos,United Kingdom
05-10-25,Oct,756,41,34,390,1356,25-34,Male,Mobile,YouTube Search,United Kingdom
06-10-25,Oct,2118,32,6,52,1293,25-34,Male,TV,YouTube Search,United Kingdom
07-10-25,Oct,4875,25,10,443,967,35-44,Male,Desktop,Suggested Videos,United Kingdom
08-10-25,Oct,3643,39,9,88,1786,18-24,Female,Desktop,External,United Kingdom
09-10-25,Oct,2615,19,22,209,1747,45-54,Male,Mobile,YouTube Search,United Kingdom
10-10-25,Oct,1379,42,30,106,2098,45-54,Male,Mobile,YouTube Search,United Kingdom
11-10-25,Oct,970,27,20,151,727,18-24,Male,Desktop,Suggested Videos,United Kingdom
12-10-25,Oct,3605,32,25,134,393,25-34,Male,Mobile,YouTube Search,United Kingdom
13-10-25,Oct,3271,36,1,51,575,18-24,Male,Mobile,Channel Pages,Australia
14-10-25,Oct,648,33,34,260,292,35-44,Male,Tablet,Browse Features,Australia
15-10-25,Oct,4263,34,40,336,1140,25-34,Female,Mobile,YouTube Search,Australia
16-10-25,Oct,4046,27,43,42,300,35-44,Male,Desktop,Browse Features,Australia
17-10-25,Oct,4175,40,25,353,262,18-24,Male,Mobile,YouTube Search,Australia
18-10-25,Oct,3392,44,38,414,2182,25-34,Male,Mobile,External,Australia
19-10-25,Oct,3459,37,34,101,2093,45-54,Male,Mobile,External,Australia
20-10-25,Oct,676,26,31,359,608,45-54,Male,Desktop,Browse Features,Australia
21-10-25,Oct,1519,19,34,352,975,25-34,Male,Desktop,External,Australia
22-10-25,Oct,3684,18,18,186,1688,18-24,Male,Mobile,Suggested Videos,Australia
23-10-25,Oct,3956,14,42,217,1353,18-24,Male,Mobile,Suggested Videos,Australia
24-10-25,Oct,1664,26,-3,449,1388,25-34,Female,Mobile,Suggested Videos,Australia
25-10-25,Oct,1731,28,40,85,2238,25-34,Male,Mobile,YouTube Search,Australia
26-10-25,Oct,1685,38,44,187,648,25-34,Male,Mobile,Browse Features,Australia
27-10-25,Oct,1452,30,1,99,1522,18-24,Female,Mobile,YouTube Search,Australia
28-10-25,Oct,4124,29,49,228,1558,55+,Male,Tablet,Suggested Videos,Australia
29-10-25,Oct,4908,17,40,134,81,25-34,Female,Mobile,YouTube Search,Australia
30-10-25,Oct,4578,42,8,37,2309,25-34,Male,Mobile,YouTube Search,Australia
31-10-25,Oct,3709,37,28,328,716,18-24,Female,Mobile,Suggested Videos,Australia
01-11-25,Nov,1828,28,25,243,1218,18-24,Female,Mobile,YouTube Search,Australia
02-11-25,Nov,2822,8,38,223,553,35-44,Male,Mobile,Suggested Videos,Australia
03-11-25,Nov,931,24,40,218,814,45-54,Female,Mobile,Suggested Videos,Australia
04-11-25,Nov,4016,3,10,49,2193,18-24,Male,Desktop,Suggested Videos,Australia
05-11-25,Nov,1139,9,36,250,1842,13-17,Male,Mobile,Suggested Videos,Australia
06-11-25,Nov,2730,23,28,153,795,18-24,Male,Mobile,Channel Pages,Australia
07-11-25,Nov,2025,9,22,84,1660,35-44,Male,Mobile,Channel Pages,Australia
08-11-25,Nov,2166,27,29,397,28,25-34,Male,Mobile,Suggested Videos,Australia
09-11-25,Nov,2749,15,32,362,2213,18-24,Male,Mobile,YouTube Search,Australia
10-11-25,Nov,3400,24,43,67,1822,13-17,Female,Mobile,Suggested Videos,Australia
11-11-25,Nov,2351,45,-1,362,835,25-34,Female,Mobile,Browse Features,Australia
12-11-25,Nov,4348,27,4,118,1465,25-34,Male,Mobile,Channel Pages,Australia
13-11-25,Nov,2118,36,26,134,28,13-17,Male,Tablet,External,Australia
14-11-25,Nov,4857,42,22,45,490,25-34,Female,Mobile,YouTube Search,Australia
15-11-25,Nov,2234,8,32,112,2345,13-17,Male,Mobile,External,Australia
16-11-25,Nov,2460,11,44,346,1741,25-34,Male,Mobile,Channel Pages,Australia
17-11-25,Nov,1961,24,29,263,1668,55+,Male,Tablet,Browse Features,Japan
18-11-25,Nov,1143,9,45,274,106,35-44,Female,Desktop,YouTube Search,Japan
